id,label,tag,pr
0,程维藩,7,0.05451815313165537
1,鲁坤,3,0.6437586538081532
2,褚万春,11,0.0806701741241489
3,笑脸鬼,10,0.11780167784288365
4,寿南山,12,0.08991138418004173
5,梅剑和,13,1.9422950348777126
6,吕葆中,7,0.02678473611499791
7,慧观,4,0.20043952360806858
8,小翠,11,0.1986434980015573
9,索额图,7,1.8708882191696214
10,教书先生,3,0.12603192993924128
11,白脸人,13,0.06348283046854805
12,血刀老祖,3,1.0252988822085296
13,博尔忽,5,0.4314368411213811
14,贺老三,12,0.06430299902236553
15,常金鹏,12,0.41928306471700105
16,韩小莹,5,2.0809633500229205
17,段延庆,4,2.7457210464693746
19,梁子翁,5,1.5699762870029736
18,定静师太,8,0.7974274518478354
20,汪万翼,11,0.2115536795003251
21,祖大寿,13,0.23353510307405007
22,张一氓,5,0.11768611199908265
23,白世镜,4,0.7796327985952732
24,顾炎武,7,0.7954717728629919
25,桑结,7,1.3557704222209435
26,商老太,1,1.7804080383082057
27,崔绿华,4,0.09731521067399945
28,大癫,9,0.257741031099549
29,静玄师太,12,0.3706073384993614
30,忽伦三虎,9,0.02986469212894536
31,冲虚,8,2.6197861652637324
32,马大鸣,3,0.21955452874304165
33,沙通天,5,1.9525454999480605
34,狮鼻子,4,0.01156299966111093
35,何思豪,1,0.33987171359654705
36,玉如意,9,0.27278856097305876
37,叶长青,12,0.027065578262653777
38,史镖头,8,0.45630100189778855
39,阿紫,4,4.192492989996331
40,易大彪,4,0.27351058136696343
41,子聪,10,0.1039325734795138
42,薛鹊,1,0.8046102094678786
43,曲三,5,0.1020566516865034
44,丛不弃,8,0.08274213399482284
45,东方不败,8,2.56709515162002
46,天狼子,4,0.036381949281530004
47,陈家洛,9,11.398613716306745
50,沈青刚,5,0.11866233876639787
49,李西华,7,0.6586352393619397
48,王老六,1,0.028937953696464798
51,安剑清,13,0.17035966085893353
52,穆贵妃,4,0.08785566813890651
55,小龙女,10,8.22564423333611
54,童子,5,0.757524665854715
53,褚轰,1,0.08131511858655835
57,侍剑,11,0.3929569041447812
56,侯通海,5,1.3691810433179865
58,唐六爷,9,0.06005797842830986
59,黑熊,8,0.26965693251379047
60,补锅匠,1,0.23779104347285707
61,薛公远,12,0.463098175507347
62,杨莲亭,8,0.804052221216774
63,温方达,13,1.291547585958778
64,邝天雄,7,0.14804306220012495
65,葛长老,8,0.14229711770931544
66,元悲,9,0.11632404590889779
67,南怀仁,7,0.23501103184020433
68,郑萼,8,1.0102988900498886
70,店伴,12,0.8347165873186185
69,冯默风,10,0.24782261645846987
71,李文秀,6,2.0369320637703816
72,白二,7,1.085655261192664
73,范百龄,4,0.6329752754390174
75,殷梨亭,12,4.087060654592585
74,宋献策,13,0.12295921952871622
76,简管家,5,0.12617982906893924
77,徐达,12,1.1220494325724608
78,博尔术,5,0.5095900524023179
79,蕊初,7,0.14699401715015892
80,司空玄,4,0.7241880526313544
81,舒化龙,7,0.10006426821972655
82,姚清泉,12,0.23940177358180484
83,秦耐之,1,0.7406811419925102
84,江百胜,7,0.013433604836594615
85,丹青生,8,1.3337567978023674
86,方人智,8,0.4357537673363512
87,阿凡提,9,0.6639476047154522
89,渡厄,12,1.1287125491520915
88,神音,4,0.09646157730054622
90,耶律楚材,10,0.13590602012952158
91,齐自勉,11,0.5406494644635679
92,殷吉,2,0.4733085455589937
93,韩文冲,9,1.0276193938856903
94,行痴,7,0.8690967699932847
95,焦宛儿,13,2.2190217581517304
96,成高道人,8,0.011430309482353927
